credit_card,amount,25%,50%,75%,credit_limit,date
1003715054175576,995.35,59.01,93.73,124.63,20000,2015-09-11 19:50:02
1003715054175576,818.47,59.01,93.73,124.63,20000,2015-10-01 20:44:09
1003715054175576,888.04,59.01,93.73,124.63,20000,2015-10-18 01:01:41
1003715054175576,859.31,59.01,93.73,124.63,20000,2015-08-24 15:14:52
1003715054175576,925.78,59.01,93.73,124.63,20000,2015-09-24 22:10:07
1003715054175576,905.54,59.01,93.73,124.63,20000,2015-09-02 20:54:00
1013870087888817,898.0,58.09,87.67,128.02,15000,2015-09-01 18:23:13
1013870087888817,848.21,58.09,87.67,128.02,15000,2015-09-20 23:53:12
1013870087888817,811.25,58.09,87.67,128.02,15000,2015-10-05 00:14:43
1013870087888817,972.63,58.09,87.67,128.02,15000,2015-08-19 19:12:24
1013870087888817,829.28,58.09,87.67,128.02,15000,2015-09-26 01:45:42
1013870087888817,898.64,58.09,87.67,128.02,15000,2015-10-24 20:00:27
1013870087888817,819.53,58.09,87.67,128.02,15000,2015-10-09 15:40:04
1023820165155391,959.0,55.43,85.78,122.83,28000,2015-09-26 22:59:10
1023820165155391,939.07,55.43,85.78,122.83,28000,2015-08-24 22:14:50
1023820165155391,872.27,55.43,85.78,122.83,28000,2015-08-19 18:38:29
1023820165155391,804.6,55.43,85.78,122.83,28000,2015-08-16 23:14:24
1023820165155391,817.41,55.43,85.78,122.83,28000,2015-08-04 21:38:14
1023820165155391,858.53,55.43,85.78,122.83,28000,2015-08-03 23:44:55
1023820165155391,912.58,55.43,85.78,122.83,28000,2015-10-23 19:13:13
1023820165155391,977.59,55.43,85.78,122.83,28000,2015-08-17 20:06:06
1023820165155391,868.38,55.43,85.78,122.83,28000,2015-08-02 00:16:57
1023820165155391,845.87,55.43,85.78,122.83,28000,2015-10-28 20:24:07
1023820165155391,813.01,55.43,85.78,122.83,28000,2015-09-02 17:35:23
1023820165155391,954.65,55.43,85.78,122.83,28000,2015-10-10 01:19:08
1023820165155391,879.2,55.43,85.78,122.83,28000,2015-10-10 00:16:03
1023820165155391,912.82,55.43,85.78,122.83,28000,2015-10-22 23:26:59
1023820165155391,841.0,55.43,85.78,122.83,28000,2015-10-23 00:03:44
1023820165155391,837.34,55.43,85.78,122.83,28000,2015-09-07 18:51:52
1023820165155391,807.32,55.43,85.78,122.83,28000,2015-08-29 20:05:05
1023820165155391,904.41,55.43,85.78,122.83,28000,2015-09-24 21:24:42
1023820165155391,845.04,55.43,85.78,122.83,28000,2015-10-19 21:43:26
1073931538936472,856.93,108.08,147.19,194.83,10000,2015-09-26 19:36:58
